step,execution_bon_16x16_acc,execution_bon_16x16_accumulate_acc,execution_bon_4x4_acc,execution_bon_4x4_accumulate_acc,execution_case_acc,execution_case_accumulate_acc,execution_code_acc,execution_code_accumulate_acc,execution_p_00,execution_p_01_as_logged,recorded_at,reward_case_reward_mean,reward_case_reward_num_groups,reward_case_reward_num_samples,reward_case_reward_std,reward_code_reward_mean,reward_code_reward_num_groups,reward_code_reward_num_samples,reward_code_reward_std,reward_problems_skipped,reward_problems_total,reward_problems_used,reward_reward_mode,reward_rollout_debug_meta_enabled,reward_rollout_debug_meta_max_problems_per_step,reward_rollout_debug_meta_slots_remaining_after_step,reward_rollout_debug_meta_truncate_chars,sampling_mean_case_response_tokens,sampling_mean_code_response_tokens
40,0.25,0.39125,0.24,0.3575,0.33055555555555555,0.3862732095490716,0.235625,0.325234375,0.0338640384129391,0.4820378837361202,2026-04-03T10:51:30,0.1433,8,720,0.4861,0.3252,8,1600,0.4239,0,100,100,gt_based,0,,0,,686.68375,627.9775
41,0.27,0.36875,0.26,0.35,0.34011627906976744,0.4280185758513932,0.201875,0.29375,0.05196360153256705,0.2890625,2026-04-03T11:00:10,0.2197,10,688,0.4691,0.2938,14,1600,0.4073,0,100,100,gt_based,0,,0,,691.2325,611.28125
42,0.3,0.4298245614035088,0.26,0.37468671679197996,0.41796875,0.4977213541666667,0.24,0.3362312030075188,0.07191350264018104,0.3165666820489156,2026-04-03T11:09:02,0.1956,6,768,0.5158,0.3359,10,1600,0.429,0,100,100,gt_based,0,,0,,674.986875,622.0775
43,0.27,0.35375,0.27,0.33625,0.3491847826086957,0.4452077747989276,0.233125,0.285078125,0.0728051391862955,0.3221183800623053,2026-04-03T11:17:34,0.1707,7,736,0.5069,0.2851,11,1600,0.4176,0,100,100,gt_based,0,,0,,649.941875,587.94
44,0.28,0.37375,0.24,0.3325,0.31107954545454547,0.4141116352201258,0.19875,0.274765625,0.04461831253964897,0.17069799585349,2026-04-03T11:26:33,0.2138,16,704,0.4524,0.2748,4,1600,0.3975,0,100,100,gt_based,0,,0,,691.566875,568.379375
45,0.19,0.3625,0.18,0.3025,0.36553030303030304,0.47843886462882096,0.143125,0.232890625,0.04296875,0.2458791208791209,2026-04-03T11:35:24,0.2089,6,528,0.4631,0.2329,16,1600,0.3744,0,100,100,gt_based,0,,0,,662.650625,618.2525
46,0.23,0.3257287705956908,0.2,0.27122940430925224,0.3384146341463415,0.47939814814814813,0.16875,0.25087135614702155,0.06304537521815008,0.35678391959798994,2026-04-03T11:44:14,0.1641,10,656,0.5054,0.2579,6,1600,0.3932,0,100,100,gt_based,0,,0,,639.766875,594.0225
47,0.25,0.375,0.24,0.33625,0.3578125,0.4731104651162791,0.215,0.300703125,0.07690092165898617,0.25870253164556967,2026-04-03T11:51:54,0.1953,7,640,0.5172,0.3007,8,1600,0.4132,0,100,100,gt_based,0,,0,,629.531875,602.7375
48,0.24,0.3275,0.25,0.30125,0.32051282051282054,0.4163756983240223,0.22375,0.278984375,0.0784431137724551,0.24235807860262004,2026-04-03T11:59:55,0.177,9,624,0.5412,0.279,12,1600,0.4141,0,100,100,gt_based,0,,0,,650.519375,556.509375
49,0.27,0.395,0.21,0.33,0.378125,0.44636363636363635,0.171875,0.256171875,0.06227483273288729,0.24257932446264074,2026-04-03T12:08:34,0.2538,8,640,0.4918,0.2562,10,1600,0.3912,0,100,100,gt_based,0,,0,,681.256875,579.185
