step,execution_bon_16x16_acc,execution_bon_16x16_accumulate_acc,execution_bon_4x4_acc,execution_bon_4x4_accumulate_acc,execution_case_acc,execution_case_accumulate_acc,execution_code_acc,execution_code_accumulate_acc,execution_p_00,execution_p_01_as_logged,recorded_at,reward_case_reward_mean,reward_case_reward_num_groups,reward_case_reward_num_samples,reward_case_reward_std,reward_code_reward_mean,reward_code_reward_num_groups,reward_code_reward_num_samples,reward_code_reward_std,reward_gt_correlation_mean_spearman,reward_gt_correlation_n,reward_problems_skipped,reward_problems_total,reward_problems_used,reward_reward_mode,reward_rollout_debug_meta_enabled,reward_rollout_debug_meta_max_problems_per_step,reward_rollout_debug_meta_slots_remaining_after_step,reward_rollout_debug_meta_truncate_chars,sampling_mean_case_response_tokens,sampling_mean_code_response_tokens
70,0.2,0.2947103274559194,0.2,0.2959697732997481,0.001644736842105263,0.002777777777777778,0.196875,0.2753463476070529,0.0006402048655569782,0.5,2026-04-03T16:23:14,-0.0611,4,64,0.2954,0.875,4,64,0.3307,0.3759,4.0,96,100,4,self_bootstrap,0,,0,,708.8425,648.80125
71,0.25,0.32125,0.26,0.33125,0.0,0.00017857142857142857,0.21875,0.3028125,0.0001849112426035503,1.0,2026-04-03T16:31:22,-0.0549,1,16,0.2127,0.875,1,16,0.3307,0.114,1.0,99,100,1,self_bootstrap,0,,0,,713.034375,622.298125
72,0.22,0.3075,0.22,0.3075,0.0,0.0,0.175625,0.25546875,0.0,1.0,2026-04-03T16:39:31,0.0,0,0,0.0,0.0,0,0,0.0,,,100,100,0,self_bootstrap,0,,0,,673.02125,641.978125
73,0.26,0.335,0.26,0.33375,0.0,0.0,0.251875,0.345234375,0.0,1.0,2026-04-03T16:47:06,-0.0625,1,16,0.2421,0.9375,1,16,0.2421,-1.0,1.0,99,100,1,self_bootstrap,0,,0,,641.768125,612.45625
74,0.18,0.2689393939393939,0.18,0.2689393939393939,0.0,0.0,0.1725,0.2623895202020202,0.0,1.0,2026-04-03T16:55:06,0.0,0,0,0.0,0.0,0,0,0.0,,,100,100,0,self_bootstrap,0,,0,,680.443125,630.0075
75,0.19,0.2325,0.18,0.2225,0.0,0.0005179558011049724,0.22625,0.279296875,0.0,1.0,2026-04-03T17:26:53,-0.0526,1,16,0.2037,0.8125,1,16,0.3903,-0.4151,1.0,99,100,1,self_bootstrap,0,,0,,696.546875,624.440625
76,0.15,0.24125,0.15,0.24125,0.0,0.0,0.165,0.243203125,0.0,1.0,2026-04-03T17:35:01,0.0,0,0,0.0,0.0,0,0,0.0,,,100,100,0,self_bootstrap,0,,0,,719.768125,632.87
77,0.23,0.29125,0.23,0.29125,0.0,0.0,0.180625,0.261875,0.0,1.0,2026-04-03T17:42:07,-0.0625,2,32,0.2421,0.9375,2,32,0.2421,0.0667,2.0,98,100,2,self_bootstrap,0,,0,,659.184375,646.31
78,0.16,0.23625,0.16,0.23625,0.0,0.0,0.16625,0.250234375,0.0,1.0,2026-04-03T17:50:22,-0.0625,1,16,0.2421,0.9375,1,16,0.2421,,,99,100,1,self_bootstrap,0,,0,,647.9475,649.6425
79,0.14,0.24681933842239187,0.14,0.24681933842239187,0.0,0.0,0.155,0.24713740458015268,0.0,1.0,2026-04-03T17:58:47,0.0,0,0,0.0,0.0,0,0,0.0,,,100,100,0,self_bootstrap,0,,0,,702.64,644.556875
80,0.17,0.23433583959899748,0.17,0.23433583959899748,0.0,0.0,0.1625,0.2400532581453634,0.0,1.0,2026-04-03T18:06:17,0.0,0,0,0.0,0.0,0,0,0.0,,,100,100,0,self_bootstrap,0,,0,,607.065625,636.67
81,0.22,0.325,0.23,0.32625,0.0014204545454545455,0.00016983695652173913,0.23,0.320703125,0.00037306472673008767,0.19999999999999996,2026-04-03T18:13:36,-0.06,3,48,0.2326,0.8125,3,48,0.3903,-0.3662,2.0,97,100,3,self_bootstrap,0,,0,,592.046875,619.05
82,0.23,0.305,0.23,0.305,0.0,0.0,0.2375,0.30375,0.00035112359550561797,1.0,2026-04-03T18:21:41,-0.1095,1,16,0.2896,0.9375,1,16,0.2421,0.0976,1.0,99,100,1,self_bootstrap,0,,0,,702.3875,630.386875
83,0.24,0.3025,0.25,0.31,0.0,0.0,0.225625,0.301328125,0.0005466472303206997,1.0,2026-04-03T18:29:42,-0.0431,5,80,0.2462,0.825,5,80,0.38,0.0037,3.0,95,100,5,self_bootstrap,0,,0,,668.6025,626.37
84,0.2,0.27375,0.2,0.27375,0.00125,0.0001675603217158177,0.233125,0.309453125,0.0,0.5333333333333333,2026-04-03T18:37:42,0.0604,1,16,0.2339,0.5625,1,16,0.4961,0.4216,1.0,99,100,1,self_bootstrap,0,,0,,630.864375,607.764375
85,0.25,0.34125,0.25,0.34375,0.0,0.0,0.234375,0.316640625,0.0003180661577608143,1.0,2026-04-03T18:45:48,-0.0571,2,32,0.2222,0.9375,2,32,0.2421,0.6454,2.0,98,100,2,self_bootstrap,0,,0,,645.44375,627.575625
